msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
Wf0jhXaPYgjCXHeq7F1qpY2Mk4fmO5wZxJR1HlhImvI=,41,30,99,99,1,2016-06-23,2016-07-23,0
UKHON4EpDGASzZwdohBogXqPbvR3ZT47YxqyfWS6zcI=,41,30,99,99,1,2016-06-21,2016-07-21,0
bUlrBMISxZ5xaLiZDejSVWbVt5qJSDXsGIxD0LkxW/k=,37,30,149,149,1,2015-11-11,2015-12-10,0
V6gDyj4jnNgBhWLmL+Atc2lFYIqOGsvi7Qe+MqB4QpQ=,40,30,149,149,1,2015-09-25,2015-10-24,0
WVvX79O7F711lq3bs7oeY7qABdKbKzmA4S9uXCsmnlE=,41,30,99,99,1,2016-11-14,2016-12-14,0
5fPXqLcScoC93rH/gCPK+5Soj+XdNMXX9S3LhV5dJjM=,41,0,0,149,1,2015-05-08,2015-11-06,0
OdR08NNiRofWqIoMKtle6k1OcbXeQXUWB1gQSkFBuuU=,41,30,149,149,1,2015-03-10,2015-04-11,0
LiSXZu0pLr2gIXqdQd5jTkgxvkob+jjTuvcDb45pnz8=,39,31,149,149,1,2015-01-31,2015-03-07,0
bd20Ep8rt40yg6MccW88BONP29DaN5b5NQ1q4ylgfKU=,31,30,149,149,1,2015-12-31,2016-01-31,0
rRVNYThlbcSt4wwu0jFJ61yyZl/okes9ywQ+GJxfFUg=,37,30,149,149,1,2016-06-28,2016-08-02,0
1OWXjVrGTvpMII7LcpGH/TNalz/LYPtk4u82xg6+qa4=,40,30,149,149,1,2016-01-25,2016-02-24,0
YEFqDfKveeKA+O3G8Pzqzi1udjqzOYso96iE6ruc5+Q=,36,30,180,180,0,2016-04-26,2016-05-26,0
gmhLxgxp6w7P70gxvhB5gtgfRYneHI//QfKbZpnyAlo=,34,30,149,149,1,2016-10-31,2016-11-30,0
p/x4fgCAROoho+AuTKBq1i+bqv4beYOIRHpIxxshseA=,41,30,129,129,1,2016-01-04,2016-02-05,0
ZBXPk0DLU8YEdM69vUskJYtrr1ED7EoQr4XR+SCHGoY=,41,30,99,99,1,2017-01-10,2017-02-10,0
YnA66JYN0Eeb0eJSa+uJ7Kk44auelkoZtAUZqnlozMY=,41,30,149,149,1,2015-08-31,2015-09-30,0
VcXXVGBo8Ps3cjKkXy0vg0zxlF9hLWyRX0GEP5mFALc=,38,30,149,149,0,2015-10-27,2015-11-26,0
T7UnacSE9cXizWOekvD3R+FgPuroIdL46aBRGy0yf1s=,28,30,150,150,0,2015-09-24,2015-10-24,0
OdR08NNiRofWqIoMKtle6k1OcbXeQXUWB1gQSkFBuuU=,41,30,149,149,1,2017-01-10,2017-02-11,0
JOC6XGMw+sRawooXijlIQdgR0NQbTUkeMHlPHNIl/fI=,41,30,149,149,1,2015-03-31,2015-05-01,0
v09XbG9Otay8ZfjKLEE1weqXi2zin9xp1NnZNetZwvQ=,37,30,149,149,1,2016-10-14,2016-11-13,0
cgCYTc/J/7ZYbc0XbK5D3s/n1TroXo9bFqQtYrrMokA=,39,30,149,149,1,2016-11-30,2017-01-30,0
kUeXzrwneSkQ8+EE5Sxe6M6IIsPCM4z+uwt8jpoPM/I=,38,7,0,0,0,2016-07-22,2016-08-08,0
hG0AinQ/bu7wNw4I02CE8AVoFRmw471bPwKG6H05SUQ=,39,30,149,149,1,2016-08-07,2016-09-27,1
3Z+/gAgmXxCIw29vNMW5exHF9gzpoeOsdzaitzXM2cc=,41,30,149,0,1,2015-02-25,2015-03-02,1
QVn+v+mNk9gOHHbN7sO00ini1zjQoMebYSjLC3oB6Go=,41,30,99,99,1,2016-10-26,2016-11-26,0
WLs0/o+qxYeqUd6m2bLJUv5QXjS3RWsB0jBbT2mFBRI=,38,30,149,149,0,2016-08-17,2016-09-16,0
UmJfQ5vRryCN1HZwBM5jS4gYM3Gqap9tB2dQKGFvD20=,41,30,149,149,1,2015-04-08,2015-05-08,0
os/wzOviPfunslkQqumQPKot8e7UEdwViArYaEqHNn0=,39,30,149,149,1,2015-09-30,2015-11-02,0
bILPYrY7du4q3m4teilAjoh5DANuufZm2vgUKxOkJUo=,41,30,99,99,1,2017-02-28,2017-03-31,0
yqGHI3dPRGk225h1qiltslLm40Ka88nvBXu7wfAs8m4=,41,30,99,99,1,2016-10-20,2016-11-20,0
afO2648nWQWtusDDEF1Eoj8E6q2UpXCWkfGVlT99/Xo=,37,30,149,149,1,2016-10-24,2016-11-23,0
q+bJbaV/NOA0JMBVDHIW1ysH72p324x7cIobnTxTY24=,41,30,99,99,1,2016-09-01,2016-10-01,0
H7Xn18DdeEo96SESfY148eQaQ4CBrsBYJmclq6DJ0Q0=,41,30,100,100,1,2016-10-31,2016-11-30,0
O2mnke2e0VaxpTHH26HB4pVthkzkkLQ8r1j8Yw70Uco=,33,30,149,149,1,2017-01-31,2017-02-28,0
aHsR79nMtU0sEAUdCE1LIOUsuM0PDagpyjVFun79u7A=,30,30,129,129,1,2016-10-12,2016-11-12,0
ObUCuW5v7hWUQtN/uLBHWOEsLDy7cCKc1QKZAzoPp0Q=,39,31,149,149,1,2015-03-31,2015-05-18,0
kKo5ynZp9jWebe/euzUjSIF/Y2TClTux6moYEvtFp3I=,41,30,149,149,1,2016-08-27,2016-09-27,0
az/7QV7hikOym/EWBsILBgPnStJAPYC7DT6+X/guuDk=,41,30,99,99,1,2016-08-06,2016-09-06,0
oMqLvsrhhs34y215AVucWkDlmwG+ZbKa1INQRVnFBJ8=,41,30,99,99,1,2016-05-21,2016-06-21,0
6v+GxV+krVu9oLEAYGB5D4VcJzn07cJaM1HlVPB6EjA=,41,30,149,149,1,2016-12-19,2017-01-19,0
OirwemR5iJs3Fax9Vg/EQ+nOUwYn1bxi2tltKprdEeo=,34,0,0,149,1,2015-09-30,2015-10-31,0
jJ6BLMnPTIPygqRXtMh5DvfyVkEJ/qlfk9YFxm4spZc=,31,0,0,149,1,2015-10-31,2015-11-30,0
fxJwj/T+dxWHhCZ01JDyyJvDZXChpd/wt6vNGyl0/cs=,29,30,180,180,0,2016-08-16,2016-09-15,0
W89+1Qew7zNZjfBbQilZXzY0zsxdt6a/I9U/Zf4rTCY=,38,410,1788,1788,0,2015-02-14,2016-03-30,0
zrz5PEA3kwjtjSDgegPpZKuZxKBHHDP5wSUPQTcCfe8=,40,30,149,149,1,2016-06-08,2016-07-07,0
Y3++Tic/GXUSLGSRvUPRiVmQajZoBnWm2syeLADocts=,38,30,149,149,0,2015-10-19,2015-11-18,0
iyu8ID5Ewy/TswzfMO1YJc7nvWQjGcSlEKMl7E3Gmqs=,37,30,149,149,1,2015-08-02,2015-09-02,0
Hd0xga9ScmJ7KiABIGUpM0y5Pl8ipmDGAZ7WJMlra8o=,38,30,149,149,0,2016-06-24,2016-07-24,0
4P8pl7kRwdQHYJQ4BskLeHRqRNB94FkX6r3ru6OjgXk=,36,30,180,180,0,2016-07-14,2016-08-13,0
B/yNtkdQA6tOBgU7zvHWhDig3DoMFyHmlEb6ZixGy9E=,41,30,149,149,1,2017-02-14,2017-03-15,0
oet9GI3jebMMS2EP0qyqfQMzIQ6WIlnS1uMPZHYry6Q=,41,30,99,99,1,2017-01-20,2017-02-20,0
3DYvXKx7M8EgIWfS7ZfpvTwOUGmhmOxZU4SJgiCsIGo=,27,30,149,149,1,2017-01-21,2017-02-20,0
shgZjI54OyEBKm5N93IeVihqLzWpVhlwDUgbMu2NmsI=,41,30,99,99,1,2016-05-22,2016-06-22,0
irrKoVmsUtU2LZV+7pGFBokgwWfJVya4JVv9Kgb33kY=,40,30,149,149,1,2015-06-16,2015-07-26,0
UQNrkeNgpYHP3pWKWFS/OcP9GzJ1zwwiynyL6HnbdWs=,38,30,149,149,0,2015-06-04,2015-07-15,0
6pCHRZSLkWQO8UwHIG/QQ184h6+BfioxAN/NGtO9l00=,33,30,149,149,1,2016-12-31,2017-01-31,0
TxOH0+7oP3ew1ZTShSJSPpbzCeCuZVhGGh/4S/mhOdw=,41,30,99,99,1,2016-12-31,2017-01-31,0
UwMMMOcKtWF5N9FRyTTDn4xAR/UOlZIeLdnf+yq0VVI=,41,30,129,129,1,2016-04-11,2016-05-12,0
+WI7xr76pjB4k9nV+lpOEqGClbaZe1nT5uKrG9JnJWk=,40,30,149,149,1,2015-11-24,2015-12-23,0
JOC6XGMw+sRawooXijlIQdgR0NQbTUkeMHlPHNIl/fI=,41,0,0,129,1,2015-05-03,2015-06-03,0
C4nEZc0g8bNYDXrVDA+0SXjiMAjYzrxQFta6QC6j5j4=,41,30,149,149,1,2015-05-21,2015-06-21,0
MT86zRDyUPbFKyMq4QzzQ/L3gwn4leBGyETg3Cr/GGU=,41,30,99,99,1,2017-02-25,2017-03-25,0
Gp4JIZNdvl5Tn/kWLpobQpfCOw3E1Gh8btKAGpx9L90=,41,30,149,149,1,2015-05-22,2015-06-22,0
scAurmJTFqaVhDNj7jZ5YDOHTJHCkefhYCaxRnJn3tk=,34,30,149,149,1,2016-05-31,2016-06-30,0
silDjTLJXaWiuQUTXLBWtYdNmHOdMMpyOcAX0XWVcts=,35,7,0,0,0,2016-11-09,2016-11-16,0
V3KDdi9jEtl9DR5TC+K+/W8FiY8YhfJJZK02/RSnRrc=,41,30,99,99,1,2016-06-19,2016-07-19,0
Wf0jhXaPYgjCXHeq7F1qpY2Mk4fmO5wZxJR1HlhImvI=,41,30,149,149,1,2015-03-31,2015-04-30,0
2XV+Gcx4FoGQA4eD1nJ+s68mM5BS5Vo36eBNJz2Wp2o=,40,30,149,149,1,2017-01-19,2017-01-17,1
gF1u7Rfmj2nV7B6WH+lDzjOvMOwCOxwghi3DMpLYe4o=,40,30,149,149,1,2017-01-25,2017-03-04,0
jWBhS6Oj1du9s5zDkqQDmK3zQcj0wlUvgqntZkeqakc=,41,30,149,149,1,2015-03-27,2015-03-26,1
7sYyqRJ18zJCP7WANycOq2kXvNZ4DanYP6YgoT6YCAo=,36,30,180,180,0,2016-06-24,2016-07-24,0
qE+QEW9kOF0AoUBDVjlklK/dKoMZOJuL2i+2AJFa0RI=,41,30,149,149,1,2015-10-31,2015-11-30,0
bd20Ep8rt40yg6MccW88BONP29DaN5b5NQ1q4ylgfKU=,31,30,149,149,1,2016-02-29,2016-03-31,0
n3z815VYX6jxYbyG+QhdOC5sUDuOqKZlEErVbuBN8mE=,41,30,149,119,1,2015-05-22,2015-06-22,0
yE0hAVDUO6MPyByvuowxQ27ELhOcQYuMqm6vHlpd7nI=,41,30,99,99,1,2017-02-24,2017-03-24,0
/ThzOYSNnLQcgKRTSA2zTg5FDAIO5edIe3jK85+J+9E=,39,30,149,149,1,2015-06-30,2015-08-06,0
lK7KsDo0i2hmTxlAowjflCGvirUrRa6Na0wvfq49HxA=,38,30,149,149,0,2015-03-20,2015-04-19,0
E4XOKOX44nMkFkkKX4Y/q/mK+nF8CCQx9zsE1gbwF0I=,41,30,99,99,1,2017-02-28,2017-03-31,0
G2ozBX8apMrjMGJ+sfCtcHmfeMok4L/uwuZ/cWWn6wU=,41,30,99,99,1,2016-01-31,2016-02-29,0
H73H1F1ni1MJerNQQE26+SJniaoFIIy/btkoTSSUhxo=,41,30,99,99,1,2016-11-11,2016-12-11,0
0rP4jzOgbczShlAGXQglRO59rLsw49FpOxz/u6WqXu4=,24,30,149,149,1,2015-06-11,2015-06-30,1
VNUf4UaBBAwAtyexjvM8JoJ1N8qzP5fHbiHW1qmS68U=,41,30,99,99,1,2016-08-06,2016-09-06,0
DTCR9KNL+wjKOWur51PHWjbvBB2Zo9mn4J2TE/NDHRo=,40,30,149,149,1,2015-07-11,2015-08-10,0
WhMmE+gxPaUDx13oX0EeDqNye2RzuNW+DZX6mtnoiCs=,38,7,0,0,0,2016-07-22,2016-08-05,0
BbZP36avnVRI6hyXaIHJLo1cw9jYlUj1UsI8QdB21+Y=,27,30,149,149,1,2016-05-05,2016-06-04,0
Hb+yaHY6ILkLdqvBKRGE+djewcRp+K1vnrzFB+45AkU=,34,30,149,149,1,2016-07-31,2016-08-31,0
24AczxlpcHWpm4A2+44YO3IOawl2W4W5MTME+Jz8ZKU=,41,30,149,0,1,2015-10-15,2015-11-15,0
v+ZvjDkVuBh5JSdmoXHcuMuE7V3B5iYiP3lD24hzLkk=,41,30,99,99,1,2016-07-17,2016-08-17,0
XDgO7yW7sgVJjPE9OMeaelh1fDzZkuvjdtRYwPjnDdQ=,38,30,149,149,0,2015-12-08,2016-02-06,0
FZDZXUmD8PaqmI1fBgCM0/GH+Ja0uh9in5cZ/JIWDsY=,40,30,149,149,1,2015-09-06,2015-10-09,0
aALPRfxqBP6Li7+tIeY7HVbc6XEk9VajbUuYzS2KccA=,41,30,99,99,1,2016-07-26,2016-08-26,0
cH9SPTD4/4nnFKPtiKx3prIjMp6vu8Cqu1M8sIQTJmo=,41,30,149,149,1,2016-01-21,2016-02-21,0
kA7JMc6Q6nAFw1fgcs0hejCw4xXaGUzB/eq+M5n21wQ=,41,30,129,129,1,2016-04-01,2016-06-08,0
G31HOa8ndmrX61umIRG/7hBxLqWrjV+olek6FecwSDc=,41,30,99,99,1,2016-09-17,2016-10-17,0
46r0VsNbxboshxpjyJ91oWdGX8SHzxFuS2mWkEBujD4=,38,120,477,477,0,2016-10-11,2017-02-08,0
4vLM3SvIVz06/bFxjiiVB/vyP1fKytJvLfgMwEWdzcc=,35,7,0,0,0,2016-09-09,2016-09-14,0
Iv7dccRYY+WJN1FzQ2mKyj8P6ppp10Q3wljNZLOxatA=,36,30,180,180,1,2017-02-20,2017-03-19,0
tUkRLmm8ow4DkPCK44jWyqGVxUUusYAMHyvGaRbe6Pw=,35,7,0,0,0,2016-11-19,2016-11-26,0
9XeLDl2gOE6F4Wu3I04Irdostn6RBOj76yVG9G5Z3UI=,41,30,99,99,1,2016-07-04,2016-08-04,0
2EHuZPIhCDMvCQFqxMYKbIHKQq5ZLldtw5U87exjDio=,35,7,0,0,0,2016-10-29,2016-11-05,0
bUlrBMISxZ5xaLiZDejSVWbVt5qJSDXsGIxD0LkxW/k=,37,0,0,149,1,2015-05-11,2015-06-10,0
QxVHrYcMo9IjHCPdM5n6L5ZnKWbSb3jxeW06g6ymxaw=,38,30,149,149,0,2015-10-31,2015-11-30,0
q+bJbaV/NOA0JMBVDHIW1ysH72p324x7cIobnTxTY24=,41,30,99,99,1,2016-12-01,2017-01-01,0
XjFv+Kh6K2rY0YGUX/7Q8l2S5npbkOgHi+w1QDzHjgM=,24,30,149,149,1,2015-03-16,2015-03-16,0
3l3MlkXM5Z7972niMW4QG9JyL1CSJX6vpQ2iN1ES60s=,38,30,149,149,0,2016-07-15,2016-08-14,0
wXrouUlGmsb+ZDTqw3+pEooh1pj+PRUrNSMMIRjqeeo=,41,30,149,119,1,2015-08-01,2015-09-01,0
aa3rdRSnhi5jyhhZ9UY3vAsq3+2FOeFnKozTtPrql9c=,29,30,180,180,0,2016-12-03,2017-01-02,0
aY7xQ3JZintC6/UB8wG44a1AeC+xV7wCP9Y00Xa/YK8=,41,30,99,99,1,2016-08-11,2016-09-11,0
B+n75IOiMlCXWWekMrf5PRqzACGmQUQ4CBSXmf7SSVU=,41,30,99,99,1,2016-06-13,2016-07-13,0
zFp9lrvtDvc4V/3dIpbOuihg3mgpdOby9gkaMB7tVmE=,41,30,149,119,1,2015-02-10,2015-03-10,0
I6Zc98Rs9w3Vq3rc9o+0z8H5QpRE0s8UHFI7zXaYyUA=,41,30,149,149,1,2016-10-04,2016-11-04,0
p0xh1+5+FRtPC8TmWhmwBY97VK0FVZ6xwO+MZGym57E=,41,30,149,149,1,2015-10-31,2015-11-30,0
dbNMoH9njOcYpvHO3dYGvrO9K6VkvSI+txDFShD7gdc=,34,30,149,149,1,2016-03-31,2016-04-30,0
ccI8kVKeS+tfPfW++iiXDI+A2AOQbiODq+JRFEhjBAw=,41,30,99,99,1,2016-08-25,2016-09-25,0
Er4+2kIRsq+PgdHKDG8jRd4xoZaq4Ecdr9XE/iHFOcs=,41,30,149,149,1,2016-07-26,2016-08-26,0
AN1GAwDHY+qDiX1dtbntxQYEYsRiTLXpiqz8GspxDvI=,38,30,149,149,0,2015-07-23,2015-08-22,0
mf2YDeJ/pSbyOL9vyUsc9Daa1dR91r2OMLksOssI7Ug=,40,31,149,149,1,2015-03-03,2015-04-16,0
FK/KDVJFUu6Un6AKp66Vtm1AL+Aem1zw4D371DrEgh4=,35,7,0,0,0,2016-10-25,2016-11-01,0
WfP6ENpqGiol+V64N8uS1Vh/QpioL74krX6naGWZxtI=,41,30,149,149,1,2015-09-04,2015-10-05,0
n3z815VYX6jxYbyG+QhdOC5sUDuOqKZlEErVbuBN8mE=,41,30,149,119,1,2015-03-22,2015-04-22,0
4eJ1LQ9gGmxmbwtklfgK9e+4oWtZrF/1sTALiTOZ7jA=,41,30,99,99,1,2016-01-26,2016-02-26,0
ORFuJH5NXpB2rj+LZCZGUH/BB0AazOskPA/qGzE/QzI=,41,30,99,99,1,2017-02-28,2017-03-31,0
mhE9bqlQ6PMvq5YRzoylX6A1BsA8G1la5ZFksJFt9kA=,41,30,149,149,1,2016-10-02,2016-11-02,0
pKDUFGdm5XKhNCJbOL4sVdhxSpOy9SX56a5uQMoIV/I=,34,30,149,149,1,2016-06-30,2016-07-31,0
hkss6dDpk9fB+v2ywWbFVysSCOWqSsqjkhk7SoNZeGk=,41,30,149,149,1,2016-08-10,2016-09-10,0
gmhLxgxp6w7P70gxvhB5gtgfRYneHI//QfKbZpnyAlo=,34,30,149,149,1,2016-08-31,2016-09-30,0
G+fg6EgJru6KR4I3VgV4uYp2Fdhhlu5Aphwl56BCW9w=,39,30,149,149,1,2016-12-31,2017-02-14,0
nBSMZ3jmJhJmkyXXbPH/kLeNYisSneZOFWVl8GKxQwc=,38,30,149,149,0,2015-11-26,2015-12-26,0
Hg5U/gzspPJ2zIPl1wObw6jaOE6IpPeR7bgn+Zx0Cu8=,41,30,149,149,1,2015-10-01,2017-02-20,0
hz3hrClGbc/lYUGVgH547E1zkm3zVCwjCL/0v7lmxIU=,40,30,149,149,1,2016-10-08,2016-11-07,0
bQ94CMe5s0B+mqmJBMGSKCSs4CWwzeUMSTCdtYmfbl4=,40,30,149,149,1,2016-06-02,2016-06-06,1
/fRuKqyWgKjSd7wbLT5eSuKBIboFxw3VcBsAF7rysdU=,41,30,149,149,1,2016-08-12,2016-09-12,0
uezLh0C34PQBRsE7BZjHJuDkNvBVt8LeTh1Nc6zP9+U=,41,30,129,129,1,2016-05-16,2016-06-16,0
OTY2hVfhZ9no+YdKq1i2K3bL+IL9nwUoo8B190aXm+k=,38,30,149,149,0,2015-07-31,2015-08-30,0
YJJ80w1MQMl92fLUKOkg++2Hw5ibfz6jOMTBdvRBKew=,39,30,149,149,1,2016-10-31,2016-12-12,0
KvtUsds1GpdkcaXFguk1PArFxHmYHqJkNDccYKwQ1KI=,41,30,129,129,1,2016-07-27,2016-08-27,0
WVvX79O7F711lq3bs7oeY7qABdKbKzmA4S9uXCsmnlE=,41,30,149,149,1,2015-04-07,2015-04-06,1
TeK35cchva4E6Dbv9OX9OxCVNYmrLmgb8+G792J6q9U=,39,30,149,149,1,2015-09-30,2015-11-10,0
F9Bk/hHKgzaVUOhqFXbk4asqANllK+Ip12KlwpYotAY=,41,30,149,119,1,2015-02-28,2015-03-31,0
0rP4jzOgbczShlAGXQglRO59rLsw49FpOxz/u6WqXu4=,33,30,149,149,1,2016-10-31,2016-11-30,0
sfKqJiuMooz3msHOy7YuQnO94Qs+U3jx4Bl+pRxihrE=,41,30,129,129,1,2015-04-20,2015-05-19,0
e/Gbp55s/KrY5mr77yP5EMalNcYLoyjzBtpeuNWSTAU=,41,30,149,149,1,2016-12-17,2017-01-17,0
4Ut61QmH51oyEA9bNyGQ5qACfz7FjS+3xpyv4qeiTSU=,41,30,149,149,1,2015-11-03,2015-12-03,0
qlYh9bG4fhebRjvMC/KoproXsvaVfG+/JOUIamkKY4o=,35,7,0,0,0,2016-09-11,2016-09-16,0
lvWgIHSzaLEGiWGVRpuaG7vLEex6CmUs7fvG/KgFwzg=,40,30,149,149,1,2015-12-10,2016-01-10,0
VzGLeCcTS3HOGdUDMnodP5/E6ULA+/PcJliemrGeQLY=,41,30,149,149,1,2015-01-31,2015-07-01,0
G7TmHc9Gg2t8ovG/KFaB53We/0CQPELhZ5UUN2Ol3AQ=,39,30,149,149,1,2016-11-30,2017-01-13,0
IRV74b9ZiNV5ag2SIPcluf3RVupBUOwmaNEuy6zSQfg=,39,0,0,149,1,2015-04-30,2015-06-09,0
ofsWXONPnhb9ATbPtfilVzipgyFYCaJ7wqE799juXEk=,39,0,0,149,1,2015-04-30,2015-06-14,0
iSYQdaJxoqYMC7XuEi7rppcgOIDdHchU9BESujqiH8w=,40,30,149,149,1,2016-03-28,2016-04-27,0
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,40,30,149,149,1,2016-04-22,2016-05-24,0
4Ut61QmH51oyEA9bNyGQ5qACfz7FjS+3xpyv4qeiTSU=,41,30,149,149,1,2015-08-03,2015-09-03,0
K9deQUkZngg89tqBMLvxG4rJTctyMz4hU23AR0ug4ec=,41,30,149,149,1,2016-10-24,2016-11-24,0
nHG6aK8IvTKqnLwGouFrb0Wuq09vzNbKthEIn+Kuq4A=,41,0,0,149,1,2015-05-01,2015-06-01,0
aa1gx0CKRI8wEbozAjaFfsJT6oKG7Ub4BrIRg4Cv3bI=,36,30,150,150,0,2015-04-03,2015-05-03,0
ghiUYd8WDwnRdP/uPQ2JoMxYNK66TFp/238E11/r+f0=,23,30,149,149,1,2016-04-30,2016-05-31,0
